uti,reporting_counterparty,counterparty,trade_date,notional,product_type
UTI000000369TOQW9JA2M0W10LBT3G2,GoldmanSachs,Client_162,2024-02-02 13:11:00,,CommoditySwap
UTI0000005536DDFGS3JONOU9IY4X41,MorganStanley,Client_459,2024-03-15 01:40:24,5286310.26,IRS
UTI00000056B7L8V1ZOCFI4O6L1F90S,Citigroup,Client_402,2024-07-31 07:11:06,9925932.93,EquitySwap
UTI000000572ZCFZW0LDALMJEGQTOAM,HSBC,Client_267,2025-03-20 06:06:54,1704133.4,EquitySwap
UTI00000058CJIWVHDK8LW2LM349EL8,Citigroup,Client_187,2024-11-01 04:50:30,1147739.36,CommoditySwap
UTI0000005923C42YFKJFPNQVUT75PB,UBS,Client_331,,6777944.24,EquitySwap
UTI00000060UUQO1VSMADO8E7FLQHRR,CreditSuisse,Client_265,2024-07-08 10:52:00,1752787.8,CDS
UTI00000061BWHVNZH13CD5GLQJ5SXV,UBS,Client_161,2024-04-14 00:58:02,1187437.91,FXForward
UTI00000062WYX9TRFLQBMAE38SRYO4,Citigroup,Client_282,2025-01-19 17:18:35,5112951.74,CommoditySwap
UTI000000639D31K9QM3P91I3VMZWFF,CreditSuisse,Client_461,2025-02-03 13:23:25,6796200.17,IRS
UTI00000064Z31YRUJOQW5DSK7N8LA1,DeutscheBank,Client_166,2024-07-27 13:53:22,8285152.73,FXForward
UTI000000652QE4PA8HYEXF7JXJN6FO,CreditSuisse,Client_5,2024-01-08 05:07:16,6959015.1,Repo
UTI00000066NKN35XYCUVFMH07WPH6F,HSBC,Client_399,2024-08-09 07:18:31,9413379.66,IRS
UTI000000672INIWC5AMLN4PTGQ9CVA,Citigroup,Client_316,2025-02-21 14:37:20,1535277.63,IRS
UTI00000068XXLP8II7EWBXXGAEARMS,BankofAmerica,Client_33,2025-02-10 21:21:01,2636867.01,CommoditySwap
UTI00000069DU0ISB5IQNF74T60PLOZ,JPMorgan,,2024-12-27 05:59:01,2830245.64,Repo
UTI00000070QVR1H61IAOIM458AX40D,Citigroup,Client_235,2024-10-16 07:45:13,9745802.35,IRS
UTI00000071IJL2Z0LJCH2VFFQOT8HL,HSBC,Client_496,2024-07-11 19:08:00,3563870.13,CommoditySwap
UTI00000072IQ2FA39E3NWXUJ3AC6PE,BankofAmerica,Client_89,2024-11-27 09:35:37,3545893.09,CDS
UTI00000073TCKEH5SW2292MTR6SNGL,GoldmanSachs,Client_124,2025-05-25 04:50:25,2672604.74,Repo
UTI000000749GIL0MVZMUF8438TGBCV,Citigroup,Client_301,2024-04-24 17:33:05,7049916.45,CDS
UTI00000075KEF828XG8Y72IVGLYE08,UBS,Client_73,2025-01-20 09:33:35,3318372.58,IRS
UTI00000076QJICJDAN085RNTDR5XYF,GoldmanSachs,Client_174,2024-03-13 07:35:49,5944365.14,CommoditySwap
UTI000000779OT7TXKDOTRBAD3WRDHW,BankofAmerica,Client_190,2024-10-23 06:39:13,1873963.58,IRS
UTI00000078Y3O1ICNS8Y7UIKO4BUSU,MorganStanley,Client_104,2024-12-04 04:19:06,9972719.58,Bond
UTI00000079LJQ52WSPOFV177UDKTMO,HSBC,Client_354,2024-09-14 11:29:50,2383417.15,Bond
UTI00000080ZD5E9P3JPXGH30153SFL,Citigroup,Client_361,2024-10-06 21:52:42,1999106.63,FXForward
UTI000000818RTM4J3DAB42HHIHXS58,HSBC,Client_217,2024-08-01 21:25:42,8955874.92,Repo
UTI00000048CTSUFLSEHUDS3QSQCQ30,MorganStanley,Client_17,2025-01-01 16:02:42,2878036.16,CDS
UTI000000835JZ6KF1622VXYZX9JPNB,JPMorgan,Client_431,2024-05-12 00:46:51,6579570.7,CommoditySwap
UTI000000846XII5P5NVQEBWUWQHEYT,DeutscheBank,Client_399,2024-05-20 02:05:37,817306.55,FXForward
UTI00000085F22EPPPRAT0861TAA0I5,BankofAmerica,Client_455,2024-12-02 20:06:20,6870933.75,CDS
UTI000000860E0VGNXB5JTB9XXAYPNT,JPMorgan,Client_262,2024-03-22 11:44:35,7190474.58,IRS
UTI00000087OFT6YRIADDUR82C06XQ9,UBS,Client_5,2024-02-05 15:26:04,8521467.26,Bond
UTI00000088GO8JN42X2EZC7FOV2YGN,Citigroup,Client_336,2024-07-22 04:49:02,3149237.07,Bond
UTI00000089SZDXIMYN4U9BXF445CRI,GoldmanSachs,Client_162,2024-12-13 05:57:13,,EquitySwap
UTI00000090WKSHY8NBIQUWRXZE1HM3,BankofAmerica,Client_101,2025-04-19 11:06:08,1883558.57,Repo
UTI00000091YE6QVS8A0TPV726YG3DX,Citigroup,Client_71,2024-04-13 14:13:52,4133327.27,Bond
UTI00000092HWKMY9X8SYLEMRUYP04K,BNPParibas,Client_75,2024-07-13 14:47:44,8395424.33,Bond
UTI0000009350UI22KX7N89LTAJW253,CreditSuisse,Client_96,2024-02-27 20:12:09,9625127.74,Bond
UTI00000062WYX9TRFLQBMAE38SRYO4,DeutscheBank,Client_282,2025-01-19 17:18:35,5112951.74,CommoditySwap
UTI00000095K2TCZS8S2FTOM5XLK8WR,Citigroup,Client_196,2024-09-06 06:41:58,9160164.98,IRS
UTI00000096RKXLCD81TWHWHY4H350P,CreditSuisse,,2024-06-25 19:37:19,2593893.11,EquitySwap
UTI000000971VZC7D2KD1POXRTEO2T8,JPMorgan,Client_294,2024-01-04 21:45:46,5970582.33,CommoditySwap
UTI00000098SFH4GG24479QTKCD0RLE,UBS,Client_414,2024-10-10 02:39:00,3170168.26,EquitySwap
UTI0000009905QMKTGV44FTJ5CCASBU,Citigroup,Client_376,,8573069.9,CDS
UTI00000100Y1FFUU5F07B1IJIYS2N7,JPMorgan,Client_335,2024-10-19 13:26:35,3791399.99,CommoditySwap
UTI00000101RRVSFFCXHGNZEI3ZRRHF,GoldmanSachs,Client_265,2024-05-19 20:08:34,9582800.98,CommoditySwap
UTI00000102QRHOFU1WSGY7VCNEAS6Y,CreditSuisse,Client_277,2025-04-13 17:34:58,8276942.57,Repo
UTI000001032NV01ZDERI4K5OGZ2UEA,Citigroup,Client_349,2024-08-02 00:49:14,3980566.94,CDS
UTI00000104Z04X0QZFHOMTZZF8ADF7,BankofAmerica,Client_30,2025-04-09 01:41:45,9457701.42,Repo
UTI00000105VSIGBIAF92MOVS0CDK36,HSBC,Client_258,2024-02-26 05:22:20,2949575.73,IRS
UTI00000106118QQVAECW9YIL8SA3ID,HSBC,Client_256,2024-05-27 16:58:44,7373751.36,CDS
UTI000001077YXW1TBRWR965R96KHUB,UBS,Client_7,2024-01-07 12:56:03,6744289.57,EquitySwap
UTI00000108MGPP1NOQU9Y3Z2T4H20R,HSBC,Client_204,2024-02-07 01:21:57,998758.24,CDS
UTI000001097JAE58HUXG2MYR06NKWF,BankofAmerica,Client_364,2024-08-14 07:16:33,2682049.18,Bond
UTI000001104EIJ00HOD7RB1S9DWD7O,DeutscheBank,Client_500,2024-12-28 21:07:03,8710273.75,FXForward
UTI00000111USXLMT2PNJKA34MQA78R,CreditSuisse,Client_200,2025-05-16 18:08:28,8285984.29,CDS
UTI00000112XTJGCEDQQZRLF8A9KEPA,BankofAmerica,Client_29,2024-04-23 11:16:28,2672370.75,
UTI00000113ZN9I9H0DXHO87F00TERK,BankofAmerica,Client_5,2024-07-07 19:30:49,9688660.95,CommoditySwap
UTI00000114M81CMFTDRLUXM60AN0JB,HSBC,Client_83,2025-03-06 17:00:28,698077.07,CDS
UTI00000115WNWLC83GY1FKOLDXB7GB,JPMorgan,Client_7,2024-02-25 01:11:11,9302808.26,CDS
UTI000001162CWT04CHSDINGXU8UU01,UBS,Client_227,2025-04-10 23:14:23,9335864.5,FXForward
UTI00000117TNT0MQ8ABKAE6A9HL173,BNPParibas,Client_416,2024-07-18 00:43:52,3010021.29,CommoditySwap
UTI00000118U6VK0UCC1M3O55IXVA1N,CreditSuisse,Client_295,2025-04-07 06:04:05,5052246.17,CDS
UTI00000119OPZ1RHOUU9SIJPYUEONG,JPMorgan,Client_103,2024-06-30 08:33:41,6856738.68,CDS
UTI00000120AYEQAHTHSJR0FZAUXBGK,CreditSuisse,Client_150,2024-01-15 19:38:44,8675430.32,Bond
UTI00000121H8UZB7KR0AYMK99JCJN9,CreditSuisse,Client_352,2025-04-30 20:37:25,2282005.49,CDS
UTI00000122T25LZSE99F77LU8EL501,MorganStanley,Client_14,2024-05-23 11:55:27,7626850.36,CommoditySwap
UTI00000123RSVZN4REGB1AJO091C79,GoldmanSachs,Client_481,2025-04-19 23:16:37,7427253.87,CommoditySwap
UTI00000124O0USWBKOK3QPWBSF3Q0E,DeutscheBank,Client_47,2024-12-19 03:54:33,2508322.12,Bond
UTI00000125N2S8NN16UXF5GZPL1QWE,MorganStanley,Client_338,2025-04-02 09:11:21,4762362.78,EquitySwap
UTI00000126BFXB4Y4K7BPGYVYV2GQU,BNPParibas,Client_169,2024-08-01 03:31:56,5275256.81,CommoditySwap
UTI00000127Y79KVLS9MEUSWRGVZ9AA,HSBC,Client_354,,2823450.77,Repo
UTI00000128WBGLMY62XRW6TM2O04K0,CreditSuisse,Client_321,2024-10-18 10:59:42,5347389.03,CDS
UTI00000129JD5N3KSGNBHDS26FMR5L,MorganStanley,Client_3,2024-03-30 23:20:21,3116703.37,IRS
UTI00000130A1WHHKT1YJFE8UDTTJ72,MorganStanley,Client_219,2024-03-07 21:23:07,3925248.44,Bond
UTI0000013113C71UD2ZDLX1Q8F6JNG,JPMorgan,Client_310,2024-09-27 18:39:46,5751035.8,CommoditySwap
UTI00000132WT9NM3V2P2TIXC7URVQT,GoldmanSachs,Client_112,2024-03-11 07:39:27,8172165.56,CommoditySwap
UTI00000133H5K2Y77Z69UWS44C68AU,CreditSuisse,Client_340,2024-06-13 01:21:10,1742366.96,CDS
UTI00000134AXF5X9EE346Z7WQP3NIP,Citigroup,Client_58,2024-10-13 06:48:11,5806885.13,Bond
UTI00000135DR08CW2LBM2QSQ0P82KB,JPMorgan,Client_14,2025-04-29 22:06:45,2875288.39,IRS
UTI00000029B0HPMNZ1UDBFWYJXRPJ1,MorganStanley,Client_485,2024-08-22 02:51:50,2120227.45,CDS
UTI00000137GSB98V341ONX0GU4BJ3B,UBS,Client_7,2024-12-03 16:02:07,2895034.3,Repo
UTI00000138P74MJDXO100VHMYGTY3A,JPMorgan,Client_487,2024-06-17 09:54:20,5997855.91,IRS
UTI00000139GDGKXCQ91YY1J2JCN9J3,JPMorgan,Client_468,2024-03-23 12:38:17,,FXForward
UTI00000140ABOFLOAZ1RO03CINY2ET,CreditSuisse,Client_332,2024-08-13 05:13:16,2039173.51,CommoditySwap
UTI000001415PGBA9IN2XR838AMMZOH,,Client_242,2024-01-15 19:21:36,9072716.99,CommoditySwap
UTI000001424C3EVWCHM40OEYTL8HBG,BankofAmerica,,2025-05-06 00:57:42,3767549.25,CDS
UTI00000143Y2REFJQIGYVZWD3KPUG9,DeutscheBank,Client_351,2024-04-25 21:36:51,8439379.13,EquitySwap
UTI0000014421B07G2RE6ZVLHYL2LD0,HSBC,Client_235,2024-04-15 22:45:58,7201013.95,Bond
UTI00000145QGM5V2WWG84D4R9V4K00,CreditSuisse,Client_376,2024-12-31 13:36:03,7688377.84,IRS
UTI00000146A08EKXDRKZ40AQ15O2NQ,GoldmanSachs,Client_404,2024-06-09 21:29:21,6849805.16,CommoditySwap
UTI00000147BNXZU1EMTX015Z11L6SP,JPMorgan,Client_410,2024-10-12 22:44:09,6736331.73,Bond
UTI00000148CFEFFH8AOY7RP0AGA24S,HSBC,Client_88,2024-08-26 01:28:51,7894784.38,CDS
UTI00000149ZK94YXFIBLEJGUBLMNTF,MorganStanley,Client_332,2024-09-14 07:31:07,7057459.05,EquitySwap
UTI00000150RBYEAWHMLVHS21HD4Y89,Citigroup,Client_146,2024-01-10 11:15:10,3455752.93,FXForward
UTI0000015138P6FVDHR59C81DO6OUZ,HSBC,Client_115,2024-12-25 23:22:06,278131.75,IRS
UTI00000152RYIEJ9C0UU5WRYESU4FC,JPMorgan,Client_264,2024-02-29 16:09:11,1946210.2,Bond
UTI00000153JZNTMFEK2O7FHS32UY84,UBS,Client_419,2024-04-17 23:24:30,4424959.7,CommoditySwap
UTI00000154YLH9P1EARPHBXVQ6BKAD,BNPParibas,Client_83,2024-09-30 13:32:41,8552829.44,Repo
UTI000001558G1A0774RZGYD49PSO1L,CreditSuisse,Client_352,2024-08-30 08:13:49,9762028.68,EquitySwap
UTI00000156YG9RDPXDFOVD79C9MV9E,DeutscheBank,Client_487,2025-04-13 11:49:06,4050391.56,EquitySwap
UTI00000157DBCY8NYFWDC112HXRJM4,DeutscheBank,Client_338,2025-03-08 09:00:59,8605003.42,FXForward
UTI00000158XYUR4SOR8WM9LBB4M0A6,Citigroup,Client_445,2024-02-20 21:00:46,3056075.44,FXForward
UTI00000159ZV9NOU3DYMS1MWNPR424,CreditSuisse,Client_140,2024-09-18 15:06:59,682025.07,Repo
UTI00000160THOWQ1GAZ5UH80Q7TW1P,HSBC,Client_325,2024-02-20 01:00:58,2043544.83,EquitySwap
UTI00000161I3QUPXBFEJ2XG48RA4DV,Citigroup,Client_478,2025-01-23 13:18:30,1215219.71,Bond
UTI00000162VO0IPFG8PJVRN8LPY857,UBS,Client_130,2024-07-05 03:52:52,5531751.75,FXForward
UTI00000105VSIGBIAF92MOVS0CDK36,HSBC,Client_258,2024-02-26 05:22:20,2949575.73,IRS
UTI00000164PL3X2JC2R07LP7DFJCP0,Citigroup,Client_161,2024-08-25 07:49:08,5762335.36,IRS
UTI000001657Q5EGVLKDNON4UAAUWID,BankofAmerica,Client_368,2024-01-11 23:07:15,5263118.63,Repo
UTI00000166J0NPHH30GG2B9IQIUXDQ,MorganStanley,Client_242,,9083183.11,CommoditySwap
UTI00000167YE6BGGRMQDZPJL9R9KMP,GoldmanSachs,Client_437,2025-03-07 14:31:38,9229299.51,Bond
UTI00000168E6RP9UQEZFMHK403UXH9,DeutscheBank,Client_202,2024-04-04 18:04:33,3741847.51,IRS
UTI00000169XLBWQ8962E52K20TVDJI,MorganStanley,Client_377,2024-12-01 19:44:42,8065468.43,FXForward
UTI00000170RUP13WPPBMQIYFRWSKP6,MorganStanley,Client_262,2024-03-24 14:24:32,4254886.08,
UTI00000171Q24BOZL01Q3M73HC9JYP,HSBC,Client_185,2025-04-24 00:57:24,6909716.3,Bond
UTI00000172ARFI44TD1FPE60QRAQIK,MorganStanley,Client_19,2024-08-13 20:25:48,4880090.17,EquitySwap
UTI00000153JZNTMFEK2O7FHS32UY84,JPMorgan,Client_419,2024-04-17 23:24:30,4424959.7,CommoditySwap
UTI00000174QPF0QPSVY74ZQ50OP7XM,Citigroup,,2024-11-19 02:30:37,9937734.68,FXForward
UTI000001756BCPWEIJMMB5JFYSYZ7P,HSBC,Client_61,2025-05-04 06:40:26,8709986.05,FXForward
UTI000001763EH81A4RKGJZOWI1T2EP,DeutscheBank,Client_44,2024-02-24 01:05:14,3389653.24,EquitySwap
UTI0000017799259P5Z5ZLM36VFOX5W,Citigroup,Client_267,2024-04-07 20:54:55,9919320.46,FXForward
UTI00000178VI109DCNWMBXEK0Q929U,BNPParibas,Client_378,2025-02-07 15:17:18,2483856.98,FXForward
UTI00000179C5RQNSVSOJRPP7R93FEZ,HSBC,Client_437,2025-04-12 06:38:26,4092112.39,IRS
UTI000001802FVB66H3REM5PUU62RZV,BankofAmerica,Client_461,2024-06-29 20:07:18,3960017.32,CommoditySwap
UTI00000181ZUEUGWUBUGR6E7GA2IZ5,Citigroup,Client_196,2024-09-03 12:26:14,2579206.15,IRS
UTI00000182GWLACOLOLN3EH1VR1NEC,BankofAmerica,Client_334,2025-03-06 20:29:46,7854289.72,FXForward
UTI000001832TP6QAQ3K8A7RV4NMWVS,UBS,Client_259,2025-04-19 03:31:31,9574597.57,FXForward
UTI00000184H8L6E7VAAGUZROC5XT63,GoldmanSachs,Client_480,2024-10-14 18:15:34,1937978.67,IRS
UTI000001853H98BRZVA9WDJSGG0YVG,GoldmanSachs,Client_315,2025-02-17 22:44:59,2536681.51,CommoditySwap
UTI000001869JYQN15IKPQAHCUA09PC,GoldmanSachs,Client_127,2024-07-13 11:58:15,1087328.13,CDS
UTI00000187DQE97N6Y2C2BVPDCB4OW,,Client_233,2024-01-21 04:09:16,5176956.8,CommoditySwap
UTI00000188SMRWGEBEVSXMVTFQVK8S,BankofAmerica,Client_175,2024-02-23 03:08:19,1901662.17,EquitySwap
UTI00000189FQ2BHAIIWI08L0HG9NCB,GoldmanSachs,Client_174,2024-05-15 08:53:56,8476866.5,CDS
UTI000001905MHQNNGS2WPZE5EGTYLP,BNPParibas,Client_436,2024-04-08 05:21:28,5087612.12,CommoditySwap
UTI0000019151NSGZSR8RUW2XH6QIHP,CreditSuisse,Client_319,2025-02-01 21:15:26,3370376.07,EquitySwap
UTI00000192C6KSTCJIEMTMYJ014GVE,DeutscheBank,Client_7,2025-05-23 23:50:09,4725319.9,CommoditySwap
UTI00000193TQ3MD4P7PP4BF5L0RXMI,MorganStanley,Client_291,2024-09-13 12:18:57,6302094.68,CommoditySwap
UTI00000194DUQ6DDTBYRGC8KIXCCSG,DeutscheBank,Client_159,2024-06-08 18:05:50,4327684.76,Bond
UTI00000195AFCO3S65QU0K5QZZKW3G,JPMorgan,Client_141,2024-05-02 16:04:12,8826732.76,CommoditySwap
UTI000001969CD1LQJSQCZ0N04OAE7L,CreditSuisse,Client_311,,1014146.06,FXForward
UTI00000197Z6TPBWSXXDYPVBNHI6HA,Citigroup,Client_213,2024-02-04 04:27:09,5129876.01,Repo
UTI00000198DLAXAHHXKWB5O1R9Z27U,MorganStanley,Client_436,2024-09-03 23:20:02,6667042.19,IRS
UTI00000199AA1EIPICERHNXI09P5EL,BNPParibas,Client_465,2024-02-12 00:00:43,9177604.97,
UTI00000200CGWFHDV37IC0LZIGIKQW,HSBC,Client_11,2025-01-09 09:08:41,7621673.7,EquitySwap
UTI00000201NVCEQFGAS0R778NRXVOB,BNPParibas,Client_357,2024-10-12 23:22:57,586469.13,EquitySwap
UTI00000202XJQYJV84A1X7OV6SGP3J,CreditSuisse,,2024-09-24 11:56:50,1435707.68,Bond
UTI00000203PPKPGGERSDUHH03G95P6,GoldmanSachs,Client_32,,2668146.69,IRS
UTI000002047RMPN6937XNCMLDQZ05E,UBS,Client_2,2024-05-25 23:21:40,9861952.24,Repo
UTI0000020502M77RXZDNVZ552ZBRD3,UBS,Client_55,2024-03-10 11:07:47,4354585.13,Bond
UTI00000206EET0DY571VXNZ0NXU43I,BNPParibas,Client_378,2025-03-24 02:30:33,26768.13,IRS
UTI00000207SVHOTQF74RQVFX2ZVL9E,GoldmanSachs,Client_435,2024-06-12 14:06:44,7329254.45,Repo
UTI000002086FAOPRMOC0K7ZTDL25B7,DeutscheBank,Client_372,2024-10-08 08:22:40,8562851.55,IRS
UTI00000209R8ESMPF0IEOKVG019YDQ,JPMorgan,Client_294,2025-03-31 19:41:09,9873619.86,EquitySwap
UTI00000210DC62G3AUT3RSVZ2E186G,Citigroup,Client_44,2024-01-28 04:32:44,9799485.06,CommoditySwap
UTI000002116KTFRL69VSYXBBF4HETV,BNPParibas,Client_275,2024-04-21 06:15:38,2045591.34,Bond
UTI00000212L2N8IJTYOLD62F2JD9I8,CreditSuisse,Client_312,2024-07-29 12:48:43,999670.86,IRS
UTI00000213OVJYZXFUJ7XN1YPQPMQK,DeutscheBank,Client_41,2025-05-07 23:13:51,776165.19,CDS
UTI00000113ZN9I9H0DXHO87F00TERK,DeutscheBank,Client_5,2024-07-07 19:30:49,9688660.95,CommoditySwap
UTI00000215W60ZZ0I0835TVV8Y5SIC,GoldmanSachs,Client_149,2024-04-01 13:10:13,2998788.15,FXForward
UTI000002163BQWRMWLMA6GMDRDSFER,UBS,Client_83,2024-12-07 06:12:09,1407345.27,Bond
UTI00000217LBX889ERRYE12O003E82,DeutscheBank,Client_249,2024-08-07 05:01:29,835322.82,EquitySwap
UTI00000218XPR2D0VG4WFEOJGFAH5N,DeutscheBank,Client_365,2024-09-29 15:34:16,4186561.26,FXForward
UTI00000219DG8NKDAT5L0N2TNXHN5E,DeutscheBank,Client_155,2024-09-23 08:04:53,7256253.08,Repo
,BankofAmerica,Client_293,2024-05-04 06:40:23,2185899.14,Bond
UTI00000221EITKX7JE5B99HEXW8L85,MorganStanley,Client_498,2024-07-17 19:56:50,166228.51,Bond
UTI00000222T3HJU31FI0N6DGG5GR0X,GoldmanSachs,Client_371,2024-03-18 20:29:36,5272517.71,Bond
UTI00000223BIDFWA88D0MZHRUPFLFC,HSBC,Client_117,2024-01-19 15:24:31,4277082.98,CDS
UTI00000224GDD8MWE776VGTVYFYK3M,BankofAmerica,Client_76,2025-05-24 10:00:25,3209357.47,EquitySwap
UTI00000225E1MRR9VWE77NTTRTIDZS,DeutscheBank,Client_31,2024-03-26 13:27:45,9114505.66,FXForward
UTI000002263CE8ZNA8NZXC45BNCCU3,DeutscheBank,,2024-08-10 17:45:46,1567314.49,Bond
UTI0000022737SZPF9S9EHWHG0U43QL,BNPParibas,Client_123,2024-01-22 18:52:07,2829247.25,CommoditySwap
UTI00000228J9UU2BL7AMKOH109ZDO0,DeutscheBank,Client_48,2025-05-01 04:36:16,9528654.76,CDS
