uti,reported_notional,reported_counterparty
UTI000920256DFZ9FHBC6RVAXKYZDF3,1053525.53,Client_336
UTI00084632P1MRRMDDM54QQW65HAZ1,8435351.62,Client_165
UTI00016562EK7SESZCJJDFQKKKLPZ2,4716269.92,Client_33
UTI00055443SU1FY7ISA1EKSSE3NGWN,1133231.32,Client_128
UTI00018799AN2548YX1NID1VAZC4RH,4669072.73,Client_207
UTI00062167X3FYIO6738W6DS0Y0VD7,4931657.27,Client_351
UTI001446483HBMAZS7KJHZ03JAU63O,6208310.4,Client_401
UTI00134714DEICKJ6MZ6BOSGFXVVNZ,1752071.41,Client_389
UTI00074145P7CIC3XUAGQ8M41FVQZF,40261.12,Client_426
UTI00109061WSJU11UYON3FT33VNPX1,5072984.63,Client_207
UTI0000655128M84V46KIPJRTC4GCPE,5367291.39,Client_302
UTI000373737QAYQSJ7D3G9YVJF3H54,7077771.98,Client_251
UTI00082346A59MVZKYWQ8ECW45VKH8,8267320.94,Client_354
UTI00100308MD3T6WUHTBIY4YGBN4UJ,7048144.77,Client_430
UTI00133149CIOWDX00GDSH364GE3BB,253694.4,Client_184
UTI001167526QXBS2X7A8R26921PU7T,635748.56,Client_324
UTI00148704RVCD2GE36CBRCI1ZORYY,45979.59,Client_482
UTI00068093DLOG13Y3BDDLAAKXWFGU,5657674.99,Client_273
UTI000713498UIJK11PY82UIPFBGS40,9824261.15,Client_484
UTI00093367DO5TAXWPSR23KV4OFIEH,9705061.59,Client_146
UTI00034977FR53OCLK8NPDWZY214XB,7586696.25,Client_60
UTI00115860GTWDCAAW0NLW6OJQCUIY,587383.02,Client_428
UTI00059737HRPP94162JJVX5E3M226,3062101.65,Client_33
UTI00117451WD8JY7TF5W3AR4V3L5TY,5998257.29,Client_13
UTI000169747R5TZ8F935R4TIOL5X3V,4245080.5,Client_84
UTI000901542LVAGHNZXMSDRS0P8HUH,3977471.18,Client_30
UTI00042539EXOWC3PVU3TBYJWG0N0Q,9074749.81,Client_305
UTI00001248AXJYKD0FG6BPZO9SN3EZ,7792335.18,Client_21
UTI00135976XRVCB3RTL06DM5EKCPJR,1590113.86,Client_20
UTI000317852AGIBQPISU73RO32J6BH,7318120.41,Client_372
UTI00052731OZQ639WGI1PXUBMILYXL,7994876.88,Client_264
UTI000224167PA447DC3TVACHYFC8P4,7422200.18,Client_364
UTI00055029JZC8K55MDC3UFQFBKA7P,8409004.05,Client_452
UTI00029983CIVIUQDQMJJUF8F1FYHH,9967092.62,Client_343
UTI00049067VFLQ2P5N09BGALRVS40K,2356961.52,Client_500
UTI000113669DWBI4F4GTM5YTWPCRFL,1288175.22,Client_407
UTI00024986PYQCVSMYFKAAI1NM7MPB,6609737.1,Client_142
UTI00098177YL25JCFUCRJOWMVMNSFT,2879291.15,Client_276
UTI000399514THY5ECORY0OL8Q798U6,4027220.92,Client_324
UTI001445395Q6GBMEE9DPI83ENSNT3,1890561.15,Client_80
UTI00038016IZSSE9PHHF3MN51HIDN9,1426300.09,Client_350
UTI000147691CUEEN5GHYMKUX7PNW1J,3298894.7,Client_210
UTI00033976FGJRFBO0YRAOTJU3IUX6,8946725.22,Client_264
UTI00023862C3DYT7K4UDURJNB3MH9X,3223216.59,Client_142
UTI00046383FC1NMQP3ZHBD9605AFZW,2336080.3,Client_226
UTI00071809TXN6JB0R0QZ1R24YJQY5,4296077.98,Client_381
UTI00047484T0TK5ZE0LMJL2TBLX88C,5030550.03,Client_169
UTI00034803U2G054CG9M1UFPJO58K4,7258731.48,Client_374
UTI00057112IMTR080H5BWA271EMC3F,163729.34,Client_43
UTI00033713U1I88ZYI56P7UXN2VEJC,7784419.94,Client_258
UTI00081547C35KN529KCOWAUR1DG7C,2281851.85,Unknown_Client
UTI00115359TCR1PUBQEEMODXQ2EKBC,3056211.52,Client_24
UTI00049672HLXLV1KKG7VBOIM50RSB,1000000.0,Client_281
UTI00102306FZXUISQCVRUAHTXCX872,1875626.7,Client_243
UTI00072053PLZQPLLBKBPXS9KF0PQ3,4631121.37,Unknown_Client
UTI00022374HK1ACEPB1OPCV2VYVIXI,3078753.8,Client_40
UTI00081222O48N6KRZNOHCB0OIV1SS,6122843.7,Wrong_Client_18
UTI00115881NKOIVGML8G1V9EZZXWCO,5761380.98,Client_195
UTI00025287UCFFO4TYQ8RRMXLIXXH8,3684010.03,Client_469
UTI00038571MLUNIRJLJL1STXYVQ4V9,1192880.79,Client_214
UTI001250615CZQ8ZGUOOVVINVC9OOI,4026191.5,Client_422
UTI0013684956CZBWJSPAWN31QRJVH2,160294.57,Client_176
UTI00096466ROEIQIHWPV449EOMA3YW,7520259.99,Client_102
UTI0004538973RC1TW8KD1OOTD1ET16,9202061.78,Client_252
UTI00076939BR1G372XGIGV8YBL29Z8,2973222.81,Client_446
UTI00032500YWHCJVQ780UL6JENP0R6,910759.42,Client_145
UTI00061899CC3NFAOZ4099YV8DJ4J9,4962420.2,Client_212
UTI00130393RO4K552MQK5LEJ1I0C1G,8952981.91,Client_272
UTI00079452NI7S7TMR6VLKNK12RKS0,4997194.71,Client_61
UTI000661527UWDI07XVOE507C2XBY8,584137.69,Client_108
UTI00032885WUK9AEYR6W716VMUM3NZ,566603.03,Client_154
UTI00046782AW4FB6S6OIAH1FBT6ZKL,5744450.79,Client_98
UTI000452018PLL7FARI9TNOCKH7D8N,7299343.54,Client_245
UTI00099936LD3DH7XQ5CMJOZAIKQ7N,5304167.19,Client_192
UTI00049019GQ1U9RY48HOJX6SMAFGS,1037098.12,Client_136
UTI00141909ODQAB0I34HG1223C7QX9,9915223.76,Client_31
UTI00037696JMLI4AD0O232MRYI22SC,3930436.97,Client_159
UTI00048582WXALRIT3JEWMBGZJP32U,6335107.72,Client_387
UTI00128203JVQ93AHHDIAA51U14S9T,9237794.37,Client_137
UTI00102204WDVPARV4YTMAB2ZNBN07,8265824.06,Client_277
UTI00053287FCI9YUD77TAS4GMYN3X7,1410176.84,Client_154
UTI00064754Y9QH1UK8I99397E4IND4,1114442.1,Client_453
UTI00004391C81W7TDDWSPQNVRARTIR,6122523.92,Client_336
UTI00007075FJ973JUSPHHEKNMPVJT4,5689193.99,Client_221
UTI000810260PLH4IG1E2QLE0MJTGCS,899853.78,Client_271
UTI001047681GHOAZL47JQ3ABAV8FBS,4919447.62,Client_472
UTI000528253VYINJ6XU2LKXE45GYCI,5630615.59,Client_200
UTI000525506H0T73H8S77FDUX9K84M,1913839.3,Client_456
UTI00068514S4X2CLT34GMUG277BNHB,6638351.94,Client_2
UTI00050939BBN517PMLRNN97AUKBOG,2986975.03,Client_192
UTI00117365SBMSFTV2T4BSSJFRW1PI,2302075.93,Client_138
UTI00108300C6P2FIFWAUOEPLT655PQ,9984695.27,Client_306
UTI00038624KDBVFRELUAY88H9NEQK2,3424545.26,Client_233
UTI00013094EJ8KPJREMDQZ0XZUMAQ8,8643995.32,Client_31
UTI00034944YGB31BWM1237W60B2SIU,7905721.24,Client_132
UTI00139632BK4CYAO1ECOOQKRLKPHB,6225570.58,Client_191
UTI00136492V0IJEJ5PBR9BM46ZDZS5,6432213.18,Client_342
UTI000530452DMN7NMYA2PCR282OB7R,8701630.1,Client_123
UTI00045724OEW8AIHQ1HJ28JG7F7L0,4631261.2,Client_364
UTI00040007870EFPR64D4RXIYBOL4U,7303227.18,Client_78
UTI00146906Y81MTEY3T9MI9WPAPPZI,8026863.19,Client_97
UTI00062855U6T76F9YV4TZ54L18KI9,9465111.57,Client_186
UTI00035321W1PTVB6LDAZGJGDFX66Q,890002.88,Client_401
UTI00147714R7R72DR2MD24278HZ1GP,2644043.08,Client_494
UTI00139505PZRZU2NLNYNS4BTWL1AE,7116407.42,Client_134
UTI00101854WC8U6BMKZ2LHI5OB0EW4,1000000.0,Client_206
UTI00050166ME5AULNNRO6L3NNLYLCD,7881011.09,Client_326
UTI00023604TS6BMUDTWQ1RCD6QI815,3626935.87,Client_158
UTI00141072C342917OZT3W1WYA9O84,8790950.93,Client_223
UTI00070770DR9TEZV9HR0R6QZLLHIK,8708746.57,Client_353
UTI00066982R697RLU9IWOWIJ56S06U,6211802.23,Client_204
UTI00096796N010G7R9GZ181MXHNIH5,6893751.42,Client_193
UTI00068901ZPCXFGYQKDLQZ9EV1X3H,275930.5,Client_459
UTI001007745JFWHQ0D1I229VKPL6KQ,8144851.83,Client_474
UTI00116145BPSPN1GU38IZMGZ39AGR,1136970.51,Client_443
UTI001260572ZR0IA4G1RXJ0KQ7C0V5,3148956.15,Client_11
UTI00144708D2ANRTT685WHJZIY88GF,5386121.94,Unknown_Client
UTI00007426YK04YLOPIOG9W92SJTGM,8430360.22,Client_314
UTI00045722FND46WVH6SJV5XVP6NIB,3443769.1,Client_400
UTI000218910RD5KDGMAPW52MD0KSV9,3267490.12,Client_145
UTI000086737YE5U0S2C5QCR39W101P,1000000.0,Client_114
UTI00130634VS70H7I34EM43AWNJ2RM,4555730.7,Client_257
UTI00097477N99ABWZD0TFEPYJNZ7KI,1698839.28,Client_107
UTI00129100C6OM1HTMS7YZKF9FGDY2,2443165.47,Client_358
UTI00068492B2CTOL65MOGUMZJWSLZA,6044882.23,Client_457
UTI00055820VBW4KM6QYHM0ESW7R8DI,6731474.5,Client_224
UTI00138565HZ0YDR87EB4D7AJQW928,3080861.18,Client_143
UTI00006848UUJ1NKQ1KQDVAPUKHC7A,337197.96,Client_155
UTI00095494ZUER454XS524OQ86YOGA,2747559.82,Client_4
UTI00003473S40R1S8DEFC5EDIR5U4T,2558968.66,Client_469
UTI000601114BCO719EPOQNH2A7AGO5,7718959.25,Client_224
UTI000840615BGK4P4FOZNUHO0LGUJD,3744983.41,Client_184
UTI001315757ADGTOZYX134OEAK3FT9,9486872.87,Client_138
UTI00056181QGEH6M1T15V35A8AY60F,3927387.67,Client_305
UTI0013067884COOIGCELUUXT4O6UQJ,4906485.73,Client_438
UTI00039869QQOGL8OMPRVHW4YX1LXD,5411179.41,Client_137
UTI000619115VIG36WUZZ5MBSND4TMU,6157588.69,Client_139
UTI000760442IYMYH4Y4VGW33DZCHJI,498671.34,Unknown_Client
UTI000958970YD5KHVZMTCSZB42AUB3,6026633.53,Client_455
UTI00124660S0AWJ5IMNZW3J223HD7V,1894206.44,Client_86
UTI00046053UHWAPMZTNYNX8HREYRAZ,3681745.54,Client_440
UTI00135311SGGCSRI66RWTQ0994N0P,1177871.11,Client_275
UTI00089647TCDRQ1FIREQRR4ZRJUOA,7355483.27,Client_326
UTI00084228LOJP3RWWPUZEZ8FGL889,3547708.43,Client_136
UTI00114325BLOD7XEY62Q3RLQ2KENA,6731181.31,Client_436
UTI00082185FF22JA7KSWFVZ1XEVHGL,8095927.05,Client_185
UTI00028241N7ASZARPXYKBTS0WCQQV,2288288.18,Client_257
UTI001197053H6TKZ5U4VCOS2PQP9LV,993207.74,Client_225
UTI00024132N80RSC4F2STDFNRJ81AC,2757767.02,Client_391
UTI00128269Z15QZVBCL0IUJ8CN17Z0,5314952.28,Client_196
UTI00050888R42T9B6M8LAQLOAEDTW2,7819692.67,Client_412
UTI0006245943ZQB6H2N7Q27ESJTSYL,4188923.37,Client_113
UTI00034742JGPRQUWQ15F7QIFNT05L,3911518.24,Client_390
UTI000290711YYXN2NYGFXH216QIXUG,2686779.25,Client_114
UTI00098776BY4MK10UWGAOH8LHCQ43,6064083.56,Client_166
UTI00005334I9VSA76GHSPR879NTND9,4315841.52,Client_329
UTI00148124FZ1522U8075JBR0LKCJI,5704923.4,Client_426
UTI00052844U6OWCNU6G0WN9S53MQR2,8459691.5,Client_304
UTI0005886159ML0JEX6BJ4XIJD6TVT,2178126.0,Client_415
UTI00033004VCPESNHXMYFY6B45UF4H,103365.85,Client_16
UTI00004164IBLPM5D326A5SF03HDCB,153321.48,Client_120
UTI00045905VHJ4QSIS2XTYVG226IKD,9790537.24,Client_81
UTI00035812YHS05WI2X0AWX47RH02I,1000000.0,Wrong_Client_369
UTI00052794WBKS53N78ZW7CJ65WPG0,6125229.73,Client_294
UTI000939640ZIDZX524KVQUXS0M57H,3458038.44,Client_451
UTI00025320NZXF1PBX3ZOU7JKQE318,5947885.46,Client_478
UTI00093343DCKZFJMYL4RQZZQUMW3I,5866190.86,Client_110
UTI000479869ZCQRB68P8N843EF6HAU,1586305.83,Client_75
UTI00125187BIG6OTC93ETE0LUE1ED7,3680839.75,Client_410
UTI00034051JSGUDM2JQ8PWRSNHMKLN,563696.97,Client_159
UTI00063679G1ITPV84QOCK0T6FQD14,3749404.6,Client_134
UTI00120527W9V17TY1C67D3WZDRZ36,7911222.46,Client_52
UTI00112811LNLFLDTWG3PGZ967P6GO,1770405.93,Client_49
UTI00029224YZ02L2UNAQDJAR0GDOWM,2408410.44,Client_484
UTI0003713647OW3GBBVMYSDGIL3ZM9,9639825.43,Client_338
UTI00146895YGAYPFN83YYFM7ZACGH4,68820.24,Client_116
UTI000414177J18J2T3QEIUQH8QCXT9,1000000.0,Client_121
UTI00093911M2SFF2S4LBJ5Y5WOE3ZQ,3998448.61,Client_347
UTI00102432G4XC95M1T3US5VXCQWK9,7978764.86,Client_45
UTI00071214ADITBZCN0J7RR2ZNC3EE,4756947.09,Client_188
UTI00095188NUN7LK7Q5F4Y498FUXVQ,3109494.89,Client_297
UTI00032631L6V99LOY2EZCFIWEO8W5,2113121.37,Client_64
UTI00094454QSDBMES8BXRHJSAOTOLI,721300.41,Client_203
UTI00111729ADF6WVBPMB3YGTIQUAOR,6706010.13,Client_394
UTI00025783IAMWJDI7HDHGUZ8GJSXE,1062767.15,Client_227
UTI00021112XKQKOTFE4FH1054VMW9A,28057.71,Client_246
UTI00135166GR3R0I9CQKGCHJ76HH1P,5310581.5,Client_63
UTI00016605L583BIP5H3FDACECRSKS,5404563.44,Client_235
UTI000714268KHSO0860CN91ASFRHB3,8984897.89,Client_217
UTI001479729CFKH5M1US2P2JN7EO1L,2176963.68,Client_94
UTI00133806JA9P5W3ERMR205Q3AT9I,3495818.73,Client_499
UTI0000668141VGCT46Z6GJGDGIP0GH,2505477.22,Client_75
UTI00116999V2D5GFS79SQ4XE4GEQ0K,1270779.04,Client_135
UTI00066054N6TZQPYLP1AJFYOAE6QB,2237684.68,Client_238
UTI00031574KXBX7ZVJI2JUH116J4L1,8875581.51,Client_115
UTI00022045EDQN5ELW0RTULX394DCY,1649573.16,Client_112
UTI00028779B3V0Q53XLUGBAABJUBQV,1315680.1,Client_415
UTI00118293P4C2IKH1YTXIL5OHJSJ4,5693629.33,Client_100
UTI00028121ZFI42KTI868O9VGNLZZH,3307188.26,Wrong_Client_475
UTI00104011XQAQ5IV2ASORIFT1JX7J,4883613.18,Client_35
UTI001128767AL21JEMJNIP6ZH8AVOW,9833123.55,Client_297
UTI001372370BO8GQIEMO1F7XWJY6Y2,5132013.91,Client_141
UTI001141712J44WS9HY4QC6RYBMJFQ,6348458.76,Client_81
UTI0004626923WG0U92IZ7S5DFI02DY,3118139.06,Client_241
UTI00141023MOCG6IKSX0WVLS1HVWAV,8897527.89,Client_181
UTI00056511Y42KJH5VGWPTBDOJW40O,7639286.91,Client_226
UTI00125435SH10BK2U1WAK0YB8GW4S,1000000.0,Client_16
UTI00028713I9FCVWPGPEIGW4J6W5P0,9557157.57,Client_384
UTI001234745LCGLIJTDWFMGK1VP75O,8097973.12,Client_243
UTI000199557V7HUDY8ATJS0AOQ3K5X,2042375.93,Client_154
UTI00077974KX585XBO85K56ZJO1W2S,6722618.75,Wrong_Client_56
UTI00006101JGV0BN4W9L9J9MOVR195,4837305.86,Client_389
UTI00027122MOJN79CTMIZMG51O7KGT,5979896.87,Client_34
UTI00015276CZUCA5GPMOFVMXRJTUFT,872298.51,Client_116
UTI000145620PRU4X0E25SCF0BRTIJ9,5324892.94,Client_268
UTI00092094DSLMUFY33KPYAKO14JW1,7438124.96,Client_47
UTI00096495V7BFDUU7PFFIVPLMHESX,8079808.56,Client_363
UTI00116302KJQ25SQZOGB88L1WM0ZA,5458280.43,Client_121
UTI00044520F5Y4X9Y71HEN4LZP7JYF,4562624.83,Client_492
UTI00108565WCEJBLVZ9WMV7P0ZBAEZ,2933406.95,Client_131
UTI0011022326FIZ0IH9YQBP3BPR22J,3607491.11,Client_266
UTI00055623O5A8FEUHG5UCUQY2SJJ5,1212942.67,Client_452
UTI00126158OTYU201FGSEOIYN9QJOO,4097356.07,Client_285
UTI00095975KLJLROQONGD8YB8G001Z,8967794.19,Client_326
UTI00143783FXB1LXG5H5XB1QWFISRI,2645969.01,Client_392
UTI001417924UJ31TTYMEDIFVE8I50E,7797722.85,Client_330
UTI000258475AFO45U6RJO6CF5QP174,3261330.05,Client_114
UTI000491852UE6FYWT21H5OZKAV9SW,6326426.45,Client_97
UTI000391918JKTHG3OAIUCSBBC1XMQ,8697162.84,Client_361
UTI000622145ZWQJY5D1FACY6HBS1U4,1524649.83,Client_18
UTI00127931OOAEZBG7P974X0VW5JK6,2067377.9,Client_386
UTI001348389RO6UYW1884YQSYLHAPI,5396377.86,Client_351
UTI00148853J0EH98GF61JBQU0YIH17,5919126.97,Client_110
UTI00003918RICZG1TJZV7KF79Y838J,3209009.2,Client_200
UTI00133168JUWH37JLMF8SY3Q47IM6,531653.46,Client_346
UTI00031895QFKD525CD3UGUMSTKDVG,6037192.75,Client_463
UTI00128069LTZAHCQ70MQRUBH94XAV,7290025.24,Client_483
UTI00119799TEP8XBGXBK3KCRRY6FQ9,5302567.74,Client_433
UTI00027848XGQ15TMD8JP41ZWPALS5,6186756.11,Client_275
UTI00035511XOT9AFW4TSZ7PHMULFBH,1000000.0,Client_207
UTI00126220WTMZTLSCVL8VTCP6FOLR,7403688.65,Client_254
UTI00122796KVUGZXE4CRGLNT20QW60,5166242.47,Client_48
UTI0004372461XNGF5HB63MZ9ED84RU,8356497.92,Client_39
UTI00147389B6LZD0DQCVVN03CJUEIO,1530961.45,Client_57
UTI00069774TQVRH3PLNAEDBQDXCZ8X,5567194.93,Client_333
UTI00145988R250GTAOBQJCHPKCGN09,4850534.46,Client_326
UTI00144238FDBLOTAAXC5ULTUP07FS,5119206.0,Client_438
UTI001362611LVZI99LUMLOLFPO99WM,4929682.5,Client_496
UTI000097834KD0E3S83YDSX9E4832S,6393057.41,Unknown_Client
UTI0008432472JEG14LQ4BZIEX3JATR,2200644.81,Client_57
UTI00140058PSQXR9JRNLB8QYMWY768,6282776.45,Client_341
UTI00075014TQQZ1KPJVY3D3IN8W5VA,3630987.67,Client_43
UTI00101860J8ZMO8RVB1HSH9D65TPA,8110323.65,Client_338
UTI00140360JCN62XUVJCUKX4WNKS02,1624753.46,Client_330
UTI000163836FZ8SCKLEGFCD90E5LNJ,1116555.82,Client_258
UTI00008666L1LJVQUH0F1FUBNUMC9T,4946564.72,Client_157
UTI00098856MJU7N18EOYOHG9TNEW0P,961282.56,Client_474
UTI00039687SW9KI33P3H2XVCZ3LE31,8648797.47,Client_112
UTI00147949WZRDRC4ZB1XG908J57ZO,8686051.51,Client_52
UTI000540793F4LVOW9VNHCQ08AMQ4G,1931957.93,Client_297
UTI000935847P9SGIJ4INX9VXURLA0Q,2215936.18,Client_440
UTI00148301OMK1QXOTEI2UMQ17OFJV,9318335.15,Client_468
UTI00131755AJULNTA8661MSR5G3XWW,3643979.13,Client_335
UTI00000595OL4VFZYKBB5YFTXDXNAD,3209479.82,Client_121
UTI00142172VCVMJI48VDTSZNRQUZM4,2725818.84,Client_90
UTI00000122T25LZSE99F77LU8EL501,7626850.36,Wrong_Client_465
UTI00114822RTRRA9QFKPBEUKBWC40F,8914632.07,Client_128
UTI00100096I3UOH6QGA4IJBY3JEG0Z,5271729.68,Client_491
UTI001473216NHIAQY6ZOLRSHZ7QCPV,9720780.25,Client_403
UTI00079262ABKTZY5V3XSBJSCMRR31,7498594.26,Client_377
UTI00063016E5PSEVUAQ2XGO0LJGLVS,9976017.97,Client_259
UTI00006384MRP3VJ2XCVTBGKIZV6AU,9580515.66,Client_26
UTI00081483ILYCJQUJDT6QBS6FTL46,1101981.13,Client_339
UTI00142214C16JO3SUN4NFRC8RFG11,5573841.5,Client_213
UTI00060725RXE1BEXE2J9YZFVFDWHB,1482303.91,Client_480
UTI0014816397V2E1Z0QTFBSSJCCAM8,4813457.0,Client_50
UTI00041200GHG0NPTVLDHGDCLRSO1B,731069.17,Client_239
UTI00096523K00333186J3WRSBHTZ6Y,6163018.11,Client_458
UTI00109676AZWU58HRDFUSHHVYJHDF,7139734.64,Client_169
UTI00003439UM0O37XUEDUHJRBGNMD3,7006916.47,Client_441
UTI00062205XXQR23N6O8DT1T1101IH,536849.12,Client_474
UTI001298999FNNRIFYGLH59RJMSVAB,1084747.53,Client_67
UTI00141519GHQZXW76FOS7R1LFPUY2,6064988.23,Client_228
UTI000288361BNQGFKSA0NVPXQAKKN9,9314782.35,Client_182
UTI00081162KPLCZCOM63UWS0EOJ7ZB,8030765.63,Client_218
UTI00142710LM6UE8O3A5CWEUJ4136P,8748529.44,Client_101
UTI00044617RFLRXL5GMYR9X50XR9IZ,401172.73,Client_240
UTI000331491KCPN7M1SSN9I4JSW8KK,9604518.14,Client_173
UTI00015298F04WSYGJO1YIDXI93UGA,8281964.33,Client_258
UTI00037172MLX2BAYYLFVNJ2QLEG6A,2752838.52,Client_333
